instnm,sub_pref,course,course_title,academic_year
Texas A&M University-Kingsville,MUSI,1301,MATERIALS OF MUSIC,2024
Texas A&M University-Kingsville,MUSI,3120,WIND SYMPHONY,2024
Texas A&M University-Kingsville,MUSI,2320,MUSIC OF MANY CULTURES,2024
Texas A&M University-Kingsville,MUSI,2316,INTERMEDIATE MUSICIANSHIP,2024
Texas A&M University-Kingsville,MUSI,2310,HISTORY OF ROCK AND ROLL,2024
Texas A&M University-Kingsville,MUSI,2309,HISTORY OF BORDERLAND MUSIC,2024
Texas A&M University-Kingsville,MUSI,2306,INTRO TO MUSIC HIST AND LIT,2024
Texas A&M University-Kingsville,MUSI,2181,PIANO III,2024
Texas A&M University-Kingsville,MUSI,2116,INTERMEDIATE AURAL TRAINING,2024
Texas A&M University-Kingsville,MUSI,1321,AUDIO RECORDING I,2024
Texas A&M University-Kingsville,MUSI,1316,INTRO TO BASIC MUSICIANSHIP,2024
Texas A&M University-Kingsville,MUSI,1305,EXPLORATIONS IN MUSIC HISTORY,2024
Texas A&M University-Kingsville,MUSI,1213,JAZZ THEORY,2024
Texas A&M University-Kingsville,PSYC,3314,PSYCHOLOGY OF ADOLESCENCE,2024
Texas A&M University-Kingsville,PHIL,3313,APPLIED ETHICS,2024
Texas A&M University-Kingsville,PHIL,4305,EPISTEMOLOGY,2024
Texas A&M University-Kingsville,POLS,2302,GOVERNMENT & POLITICS OF TX,2024
Texas A&M University-Kingsville,POLS,2301,GOVERNMENT & POLITICS OF US,2024
Texas A&M University-Kingsville,PSYC,2314,LIFESPAN DEVELOPMENTAL PSYC,2024
Texas A&M University-Kingsville,PSYC,2308,CHILD PSYCHOLOGY,2024
Texas A&M University-Kingsville,PSYC,2306,HUMAN SEXUALITY,2024
Texas A&M University-Kingsville,PSYC,2301,INTROD TO PSYCHOLOGY,2024
Texas A&M University-Kingsville,POLS,4370,SPEC STUDIES IN POLIT SCI,2024
Texas A&M University-Kingsville,POLS,4361,PUBLIC ADMINISTRATN,2024
Texas A&M University-Kingsville,POLS,4331,CONSTITUTIONAL LAW I (WI),2024
Texas A&M University-Kingsville,POLS,4321,POLIT THEORY ANCIENT AND MED,2024
Texas A&M University-Kingsville,POLS,2340,WORLD POLITICS,2024
Texas A&M University-Kingsville,PHYS,2325,UNIVERSITY PHYSICS I,2024
Texas A&M University-Kingsville,PHYS,2126,UNIVERSITY PHYSICS II LAB,2024
Texas A&M University-Kingsville,PHYS,2125,UNIVERSITY PHYSICS I LAB,2024
Texas A&M University-Kingsville,PHYS,1471,ACOUSTICAL FOUNDATIONS/ MUS,2024
Texas A&M University-Kingsville,PHYS,1375,PHYSICS,2024
Texas A&M University-Kingsville,PHYS,1304,SOLAR SYSTEM,2024
Texas A&M University-Kingsville,PHYS,1302,COLLEGE PHYSICS II,2024
Texas A&M University-Kingsville,PHYS,1301,COLLEGE PHYSICS I,2024
Texas A&M University-Kingsville,PHYS,1104,SOLAR SYSTEM LABORATORY,2024
Texas A&M University-Kingsville,PHYS,1102,COLLEGE PHYSICS II LAB,2024
Texas A&M University-Kingsville,PHYS,1101,COLL PHYSICS I LABORATORY,2024
Texas A&M University-Kingsville,PHYS,2326,UNIVERSITY PHYSICS II,2024
Texas A&M University-Kingsville,PHIL,3346,SYMBOLIC LOGIC,2024
Texas A&M University-Kingsville,PLSS,1407,GENERAL PLANT SCIENCES,2024
Texas A&M University-Kingsville,PLSS,4395,PROBS IN PLANT AND SOIL SCI,2024
Texas A&M University-Kingsville,PLSS,4329,SOIL HEALTH AND PRODUCTIVITY,2024
Texas A&M University-Kingsville,PLSS,3410,PRINCIPLES OF SOIL SCIENCE,2024
Texas A&M University-Kingsville,PLSS,3331,TURF AND URBAN PLANTS,2024
Texas A&M University-Kingsville,PLSS,3318,GENERAL ENTOMOLOGY,2024
Texas A&M University-Kingsville,CHEM,1111,GEN INORGANIC CHEM LAB I,2024
Texas A&M University-Kingsville,CEEN,5321,STRUCTURAL DYNAMICS,2024
Texas A&M University-Kingsville,CEEN,4362,HYDROLOGY,2024
Texas A&M University-Kingsville,CEEN,4340,"ENG PROJ EST, PLAN & CONTROL",2024
Texas A&M University-Kingsville,CHEM,1112,GEN INORGANIC CHEM LAB II,2024
Texas A&M University-Kingsville,CEEN,4326,CONSTRUCTION ENGINEERING,2024
Texas A&M University-Kingsville,CHEM,4381,SELECTED TOPICS/ CHEMISTRY,2024
Texas A&M University-Kingsville,CHEM,4341,BIOCHEMISTRY I,2024
Texas A&M University-Kingsville,CHEM,4311,ADVANCE INORGANIC CHEMISTRY,2024
Texas A&M University-Kingsville,CHEM,4131,PHYSICAL CHEM MEASUREMENTS I,2024
Texas A&M University-Kingsville,CHEM,4111,ADV INORGANIC CHEMISTRY LAB,2024
Texas A&M University-Kingsville,CHEM,3331,PHYSICAL CHEMISTRY I,2024
Texas A&M University-Kingsville,CHEM,3325,ORGANIC CHEMISTRY II,2024
Texas A&M University-Kingsville,CHEM,3323,ORGANIC CHEMISTRY I,2024
Texas A&M University-Kingsville,CHEM,3125,ORGANIC CHEMISTRY LAB II,2024
Texas A&M University-Kingsville,CHEM,3123,ORGANIC CHEMISTRY LAB I,2024
Texas A&M University-Kingsville,CHEM,2401,INORG QUANTITATIVE ANALYSIS,2024
Texas A&M University-Kingsville,CHEM,1312,GEN INORGANIC CHEMISTRY II,2024
Texas A&M University-Kingsville,CHEM,1311,GEN INORGANIC CHEMISTRY I,2024
Texas A&M University-Kingsville,CHEM,4385,SENIOR RESEARCH (WI),2024
Texas A&M University-Kingsville,CEEN,4316,STRUCTURAL STEEL DESIGN,2024
Texas A&M University-Kingsville,CEEN,4279,SENIOR DESIGN PROJECT I,2024
Texas A&M University-Kingsville,BIOL,4434,BIOLOGY OF FORENSIC SCIENCE I,2024
Texas A&M University-Kingsville,BIOL,4433,HISTOLOGY,2024
Texas A&M University-Kingsville,BIOL,4431,ICHTHYOLOGY,2024
Texas A&M University-Kingsville,BIOL,4429,MAMMALOGY,2024
Texas A&M University-Kingsville,BIOL,4426,CELLULAR PHYSIOLOGY,2024
Texas A&M University-Kingsville,CEEN,3392,HYDRAULIC AND FLUID MECHANICS,2024
Texas A&M University-Kingsville,CEEN,3390,FLUID MECHANICS,2024
Texas A&M University-Kingsville,CEEN,3389,STRUCTURAL VIBRATION,2024
Texas A&M University-Kingsville,CEEN,3365,ENVIRONMENTAL ENGINEERING,2024
Texas A&M University-Kingsville,CEEN,3342,GEOTECHNICAL ENGINEERING,2024
Texas A&M University-Kingsville,CEEN,3317,ENGINEERING ECONOMICS,2024
Texas A&M University-Kingsville,CEEN,3311,STRENGTH OF MATERIALS,2024
